CC20_401,faminc_new,race
5,2,1
NA,7,1
5,7,1
5,10,1
5,2,1
5,5,1
NA,3,2
5,2,1
5,6,1
5,7,1
5,9,1
5,5,1
5,9,1
5,97,1
5,9,1
5,97,1
5,10,1
5,14,2
5,9,2
5,6,1
5,9,1
5,5,2
5,8,1
5,2,1
5,97,1
NA,97,1
3,9,1
5,3,1
5,2,1
NA,5,1
5,5,1
5,5,1
NA,97,1
5,8,1
5,97,1
5,9,1
NA,1,1
5,10,1
5,14,1
5,9,2
5,10,1
5,5,1
5,10,1
5,3,1
5,9,1
5,8,7
5,5,1
5,9,1
5,10,1
5,10,1
5,97,1
5,12,1
5,6,1
5,9,1
5,8,1
NA,8,1
5,13,1
5,4,1
NA,97,3
5,10,1
5,14,3
NA,1,1
3,9,1
5,2,1
5,7,1
5,6,3
5,3,1
5,11,1
5,11,6
NA,4,1
5,9,1
5,7,1
5,9,1
5,7,1
5,97,1
5,9,1
5,4,1
5,13,1
5,11,1
5,8,1
5,10,3
NA,97,1
NA,4,1
5,5,1
NA,97,7
5,2,1
5,97,4
5,11,1
5,6,1
5,6,1
5,97,1
5,6,1
5,5,1
5,10,3
5,9,1
5,11,7
5,4,3
5,10,1
5,8,1
5,97,1
5,5,1
1,7,1
5,2,1
5,97,2
5,97,1
NA,6,1
5,12,1
5,2,3
5,97,1
5,97,1
1,7,4
5,8,2
NA,3,1
5,9,4
5,9,1
5,16,1
5,10,1
5,9,1
5,6,1
5,1,1
5,10,1
5,6,1
5,1,1
5,97,1
5,11,1
5,7,1
5,5,1
5,5,1
5,7,1
5,3,1
5,11,1
5,97,1
5,9,1
5,97,1
5,6,1
5,11,3
5,3,1
5,7,1
5,97,1
5,97,1
5,97,1
5,9,1
5,10,1
5,9,1
5,12,1
5,12,1
5,11,1
5,5,7
5,8,1
5,5,1
5,10,1
5,2,1
5,2,1
5,14,1
5,97,1
5,6,1
5,9,1
5,6,1
5,8,4
5,10,1
5,4,1
5,4,1
5,7,1
5,12,1
5,8,1
5,5,7
5,5,3
5,10,1
5,7,1
5,10,1
5,10,2
5,8,1
5,6,1
5,6,1
5,12,1
5,6,1
5,7,1
5,97,1
5,9,1
5,9,1
5,8,1
5,4,1
5,7,1
5,4,1
NA,3,1
5,97,1
5,4,1
1,5,1
5,8,1
5,10,1
5,9,1
5,8,1
5,8,1
NA,2,1
5,10,4
4,2,1
5,8,7
5,4,1
5,10,1
5,8,1
5,13,1
5,3,1
5,97,1
5,5,1
5,2,3
5,2,1
1,2,1
5,5,1
5,7,1
5,5,1
5,11,1
5,9,1
5,7,1
NA,97,1
1,6,1
5,9,1
5,7,1
5,97,1
5,6,1
5,5,1
5,12,1
5,97,1
5,9,1
5,9,1
5,10,1
5,16,1
5,8,7
5,12,1
5,8,1
5,5,1
5,4,1
5,6,1
5,10,1
5,2,1
5,12,1
5,97,1
5,4,1
1,5,1
5,11,1
5,7,1
5,12,1
5,7,1
5,9,1
5,8,1
NA,3,4
5,97,1
5,8,1
5,8,1
5,2,1
5,9,1
5,7,1
5,97,1
NA,2,1
5,14,1
